,Train,Pred
0,0.8199052132701423,0.3959821006509828
1,0.09952606635071093,0.3288234535222507
2,0.3933649289099528,0.43324294960030607
3,0.20853080568720395,0.4024665805687502
4,0.4691943127962086,0.42751813612129835
5,0.19431279620853092,0.38920510452592727
6,0.31753554502369674,0.4276736937823628
7,0.37914691943127976,0.4138917525503765
8,0.3080568720379149,0.4016319855771803
9,0.3744075829383888,0.4111984242303943
10,0.4312796208530807,0.4019646885921989
11,0.5071090047393365,0.39121517621863433
12,0.8767772511848344,0.3771365130911252
13,0.18483412322274884,0.31473512315092644
14,0.0,0.41710540548530567
15,0.5118483412322277,0.4638079421224215
16,0.5071090047393365,0.38817021317267214
17,0.24170616113744092,0.376641369230303
18,0.5402843601895735,0.4179240220757927
19,0.3080568720379149,0.37608498882707647
20,0.2654028436018958,0.40704420678593856
21,0.3507109004739337,0.4190145152847409
22,0.3838862559241707,0.4070890057381844
23,0.6777251184834125,0.3997551182381217
24,0.5876777251184835,0.35078117800046815
25,0.19431279620853092,0.3574601648557303
26,0.3981042654028437,0.4225116239245361
27,0.2606635071090049,0.39995100061741395
28,0.2748815165876779,0.41863175066609926
29,0.4454976303317537,0.4193574404568552
30,0.7061611374407586,0.3917314236010767
31,0.2274881516587679,0.3448524349973177
32,0.3838862559241707,0.4150668000373827
33,0.5071090047393365,0.4010523937092933
34,0.47393364928909953,0.37873615084519646
35,0.6587677725118484,0.3805019597728729
36,0.5781990521327016,0.3507330756957795
37,0.2748815165876779,0.35899367744892435
38,0.36492890995260674,0.4096596459749454
39,0.3364928909952607,0.40325580118435744
40,0.24644549763033186,0.4068384705352065
